type,num
London planetree,87014
honeylocust,64264
Callery pear,58931
pin oak,53185
Norway maple,34189
littleleaf linden,29742
cherry,29279
Japanese zelkova,29258
ginkgo,21024
Sophora,19338
red maple,17246
green ash,16251
American linden,13530
silver maple,12277
sweetgum,10657
northern red oak,8400
silver linden,7995
American elm,7975
maple,7080
purple-leaf plum,6879
swamp white oak,6598
crimson king maple,5923
Chinese elm,5345
Schubert' chokecherry,4888
Japanese tree lilac,4568
eastern redbud,3801
golden raintree,3719
crab apple,3527
Kentucky coffeetree,3364
willow oak,3184
dawn redwood,3020
hawthorn,2988
sugar maple,2844
sycamore maple,2731
ash,2609
hedge maple,2550
common hackberry,2382
sawtooth oak,2244
Amur maackia,2197
European hornbeam,2099
Amur maple,2049
serviceberry,2032
black locust,1784
white oak,1686
English oak,1644
Siberian elm,1595
flowering dogwood,1552
American hornbeam,1517
Schumards oak,1487
scarlet oak,1465
black oak,1327
bald cypress,1261
mulberry,1157
Japanese maple,1130
white ash,1121
eastern redcedar,1101
horse chestnut,1096
American hophornbeam,1081
tulip-poplar,1076
Cornelian cherry,1066
shingle oak,1049